Field,Query
displayName,What is the display name of Ajay Sharma?
displayName,Can you tell me the display name for Priya Verma?
displayName,Please provide the display name for John Doe.
displayNameWithNumber,Show me the display name with number for Ajay Sharma.
displayNameWithNumber,What is Priya Verma’s display name including her number?
displayNameWithNumber,I need the display name with contact for John Doe.
userMasterID,What is the user master ID of Ajay Sharma?
userMasterID,Can you tell me the ID assigned to Priya Verma?
userMasterID,Give me the userMasterID for John Doe.
firstName,What is the first name of Ajay Sharma?
firstName,Tell me Priya Verma’s first name.
firstName,Please provide the first name for John Doe.
middleName,What is Ajay Sharma’s middle name?
middleName,Can you tell me Priya Verma’s middle name?
middleName,Provide the middle name of John Doe.
lastName,What is Ajay Sharma’s last name?
lastName,Tell me the surname of Priya Verma.
lastName,Please provide the family name of John Doe.
userNumber,What is the user number of Ajay Sharma?
userNumber,Can you tell me the mobile number for Priya Verma?
userNumber,Give me the user contact number of John Doe.
gender,What is the gender of Ajay Sharma?
gender,Can you tell me if Priya Verma is male or female?
gender,Please provide the gender of John Doe.
maratialStatus,What is Ajay Sharma’s marital status?
maratialStatus,Is Priya Verma married or single?
maratialStatus,Tell me the marital status of John Doe.
email,What is Ajay Sharma’s email address?
email,Can you tell me the email of Priya Verma?
email,Give me the email for John Doe.
otherContactNumber,What is the alternate contact number of Ajay Sharma?
otherContactNumber,Provide Priya Verma’s other phone number.
otherContactNumber,Tell me John Doe’s secondary contact number.
status,What is the status of Ajay Sharma?
status,Can you tell me status for Priya Verma?
status,Please provide the status for John Doe.
roleName,What is the roleName of Ajay Sharma?
roleName,Can you tell me roleName for Priya Verma?
roleName,Please provide the roleName for John Doe.
companyMasterID,What is the companyMasterID of Ajay Sharma?
companyMasterID,Can you tell me companyMasterID for Priya Verma?
companyMasterID,Please provide the companyMasterID for John Doe.
companyName,What is the companyName of Ajay Sharma?
companyName,Can you tell me companyName for Priya Verma?
companyName,Please provide the companyName for John Doe.
companyAddress,What is the companyAddress of Ajay Sharma?
companyAddress,Can you tell me companyAddress for Priya Verma?
companyAddress,Please provide the companyAddress for John Doe.
companyWebsite,What is the companyWebsite of Ajay Sharma?
companyWebsite,Can you tell me companyWebsite for Priya Verma?
companyWebsite,Please provide the companyWebsite for John Doe.
companyEmail,What is the companyEmail of Ajay Sharma?
companyEmail,Can you tell me companyEmail for Priya Verma?
companyEmail,Please provide the companyEmail for John Doe.
companyLogo,What is the companyLogo of Ajay Sharma?
companyLogo,Can you tell me companyLogo for Priya Verma?
companyLogo,Please provide the companyLogo for John Doe.
cpName,What is the cpName of Ajay Sharma?
cpName,Can you tell me cpName for Priya Verma?
cpName,Please provide the cpName for John Doe.
